name,name_normalized,brand,barcode,kcal,protein,carbs,fat,fibres,sodium,source,sold_in_fr,popularity
Mimolette,mimolette,Milbona,20096724,310.0,26.0,0,22.9,0,632.0,off,True,4249
Hawai Tropical,hawai tropical,hawai,5449000036896,27.5,0,6.66,0,0,16.8,off,True,4192
Fondants Citron,fondants citron,Lindt,00000051,249.0,0.5,60.0,0.3,2.0,20.0,off,True,4180
Ketchup P'tits Heinz,ketchup p'tits heinz,Heinz,8715700033235,80.31,1.7,16.7,0.4,0,920.0,off,True,4170
Blanquette de veau et son riz,blanquette de veau et son riz,Carrefour,3245412059346,118.0,5.6,19.0,1.9,1.9,244.0,off,True,4157
Emincés de Gésiers - Confits,eminces de gesiers - confits,Fleury Michon,3095757693107,160.0,29.0,0,4.9,0,680.0,off,True,4157
Cuisine,cuisine,Carrefour,5400101006904,657.0,0,0,73.0,0,356.0,off,True,4143
Amora L'Onctueuse Mayonnaise Légère Offre Saisonnière 430g,amora l'onctueuse mayonnaise legere offre saisonniere 430g,Amora,8710908897344,277.0,1.7,6.7,27.0,0,760.0,off,True,4133
Happy Cow Portion Cheese,happy cow portion cheese,مثلثات,9066085415284,271.0,12.0,4.0,23.0,0,900.0,off,True,4132
Rôti de porc cuit au four Viande de Porc Française,roti de porc cuit au four viande de porc francaise,U,3256220507844,137.0,22.4,1.0,4.8,0,792.0,off,True,4125
Hydra aloe vera,hydra aloe vera,Lea Nature,3517360016970,358.0,0,86.0,0,0,920.0,off,True,4117
Salade & Compagnie - Istanbul,salade & compagnie - istanbul,Sodebo,3242274004057,141.01,5.5,20.0,3.9,1.7,160.0,off,True,4116
Puré,pure,La Villa,24024686,64.0,1.9,12.0,0.8,0,220.0,off,True,4113
Cheese spread,cheese spread,WŒRLE,9066085417745,237.0,12.0,4.0,20.0,0,900.0,off,True,4100
Gouda au cumin 31%mg portion,gouda au cumin 31%mg portion,Les Croisés,3564700768570,375.72,24.0,0.5,31.0,0,680.0,off,True,4100
Brazil Nut,brazil nut,Taste Of Nature,0059527601559,481.6,14.0,49.0,27.0,5.7,0,off,True,4094
Chou rouge râpé,chou rouge rape,Notre Jardin,3564700508022,27.49,1.3,4.5,0.5,2.1,20.0,off,True,4094
Chewing-gum menthe fraîche,chewing-gum menthe fraiche,New'R,3564700511947,172.56,0.5,70.0,0.5,0,0,off,True,4091
Chocolat noir feves de cacao,chocolat noir feves de cacao,Tablette d'Or,3564700711484,537.05,7.2,47.0,34.0,8.4,0,off,True,4086
Sunquick orange,sunquick orange,sunquick,5775345137777,325.0,0.9,76.0,0,0,72.0,off,True,4078
Asepta Akileine Sports Nok Anti Chafing Cream 75ML (care),asepta akileine sports nok anti chafing cream 75ml (care),,3323037218635,100.0,14.29,14.29,14.29,0,5702.28,off,True,4071
Mélange de crudités,melange de crudites,Notre Jardin,3564700508053,30.59,1.0,5.4,0.5,2.4,40.0,off,True,4071
Soda Costa,soda costa,Costa,7802215501968,418.0,8.4,74.0,9.8,0,390.0,off,True,4071
Tropicana Pure premium multivitamines 1 L,tropicana pure premium multivitamines 1 l,Tropicana,3051800804951,48.0,0,12.0,0,0,0,off,True,4061
Lait entier en poudre,lait entier en poudre,Anchor,9415262002104,64.0,3.0,4.8,3.6,0,152.0,off,True,4056
madeleine Bijou ChocoPépites,madeleine bijou chocopepites,Bijou,00000224,473.0,5.8,55.0,25.0,2.5,252.0,off,True,4051
Faisselle moulée à la main 6% de matières grasses sur produit fini,faisselle moulee a la main 6% de matieres grasses sur produit fini,Casino,3222473274192,82.0,3.5,3.5,6.0,0,40.0,off,True,4050
Précieux argan huile pure,precieux argan huile pure,Lea Nature,3517360002638,824.0,0,0,91.6,0,0,off,True,4045
Chips épaisse nature,chips epaisse nature,Pom'Lisse,3564700749883,504.06,6.4,55.4,27.5,5.1,400.0,off,True,4044
Coquillette,coquillette,Grand Jury,3245390078988,343.93,12.0,68.0,2.0,3.0,10.16,off,True,4034
Knacki,knacki,Herta,7613036724272,265.0,13.0,2.0,23.0,0,720.0,off,True,4032
Cocktail ACE,cocktail ace,Rotui,3352271259463,44.0,0.5,10.0,0.5,0.5,8.0,off,True,4030
Pate Brisee Pur Beurre,pate brisee pur beurre,Marie,3166350008695,379.3,5.6,45.9,19.2,0.2,320.0,off,True,4024
Bijou Caramel ChocoLait,bijou caramel chocolait,Bijou,00000227,431.88,5.3,57.0,20.0,1.0,280.0,off,True,4013
Moelleux au chocolat,moelleux au chocolat,Carbide Forte,00000055,0.5,0,0.03,0,0,0,off,True,4011
Formule 1 herbalife Sostituto del pasto biscuit croc,formule 1 herbalife sostituto del pasto biscuit croc,Herbalife,00000146,354.0,39.0,20.0,9.0,20.0,760.0,off,True,4001
Dinosaurus galletas con chocolate blanco,dinosaurus galletas con chocolate blanco,Artiach,8436048467109,498.0,5.1,69.0,22.0,0,400.0,off,True,3989
Huile de coco bio 100% pure,huile de coco bio 100% pure,Lea Nature,3517360015508,898.0,0,0,99.8,0,4.0,off,True,3983
Madeleines Choco Noir,madeleines choco noir,Nestlé,00000020,343.0,57.1,31.4,5.71,14.3,714.0,off,True,3980
6 Oeufs frais datés du jour de ponte - gros,6 oeufs frais dates du jour de ponte - gros,Casino,3222472347989,141.0,12.0,0.7,10.0,0,128.0,off,True,3979
grignottes tapas en sac,grignottes tapas en sac,Le gaulois,3266980382339,170.0,20.0,3.7,8.3,0,560.0,off,True,3975
Désodorisant fleur naissante,desodorisant fleur naissante,Febreze,8001090234605,56.0,1.0,26.0,3.0,0,800.0,off,True,3973
Madeleines ChocoLait,madeleines chocolait,Apple bandit,00000015,460.0,6.4,54.0,24.0,1.4,192.0,off,True,3971
Rillettes de thon à la Parmesane,rillettes de thon a la parmesane,La belle-iloise,3660088117198,277.0,16.5,2.2,22.2,0,360.0,off,True,3969
Barre aux noix chocolat noir et sel de mer,barre aux noix chocolat noir et sel de mer,Be-kind,0265217675,492.0,14.0,40.0,37.5,17.5,305.0,off,True,3968
Tic tac menthe t4 t(33x4) pack de 4 etuis,tic tac menthe t4 t(33x4) pack de 4 etuis,TIC TAC,8000500022696,397.0,0.1,97.5,0.5,0,11.2,off,True,3965
Ananas en tranches entières au jus naturel,ananas en tranches entieres au jus naturel,Fruistar,3564700006924,52.58,0.4,11.5,0.1,1.8,0,off,True,3959
Riz soufflé au chocolat,riz souffle au chocolat,Brin de Jour,3564700849668,393.16,6.5,84.0,2.0,4.0,200.0,off,True,3955
biscuits cuillers,biscuits cuillers,bijou,00000721,350.0,7.0,72.0,3.5,1.2,164.0,off,True,3955
GUIGOZ Evolia Relais 2ème âge dès 6 mois 800g,guigoz evolia relais 2eme age des 6 mois 800g,Guigoz,7613032504892,498.0,9.6,58.8,24.3,2.9,180.0,off,True,3953
Taste of nature,taste of nature,Taste Of Nature,0059527501552,462.0,13.6,38.0,27.0,78.0,12.0,off,True,3951
Céréales cacao fourrées vanille,cereales cacao fourrees vanille,Day Break,3564700870563,449.57,6.3,70.0,15.0,3.6,320.0,off,True,3950
Poivre blanc moulu,poivre blanc moulu,Marque Repère,3564700611098,286.33,11.0,52.0,3.3,0,0,off,True,3948
Penafiel limonada,penafiel limonada,peñafiel,7501073839885,160.0,7.0,25.0,3.5,0,0,off,True,3946
Milkana vanille,milkana vanille,Milkana,3451790017834,70.0,2.7,13.3,0.6,0,40.0,off,True,3945
Eau thermale,eau thermale,La Roche-Posay,3337875665582,112.0,4.4,8.0,6.4,0,0,off,True,3943
Matabicheras fort dodge 500ml,matabicheras fort dodge 500ml,VEV,00000036,350.0,90.9,0,0,0,0,off,True,3937
Organic Erythritol Granulated,organic erythritol granulated,Weight Watchers,00000052,0,0,100.0,0,0,0,off,True,3922
Collagen For Her,collagen for her,Bodylab,00000017,123.0,1.76,24.7,1.76,1.76,35.3,off,True,3914
